390, 1000, 580, 300 
630, 1130, 720, 420 
960, 1460, 1010, 640 
1080, 1590, 1130, 730 
1540, 1930, 1510, 1010 
1890, 2220, 1880, 1240 
2210, 2510, 2200, 1460 
2650, 2880, 2550, 1700 
2950, 3150, 2840, 1880 
3430, 3520, 3220, 2170 
3840, 3920, 3600, 2460 
4110, 4170, 3840, 2650 
4510, 4570, 4200, 2910 
4700, 4730, 4340, 3010 
4700, 4730, 4340, 3010 
4920, 4950, 4550, 3190 
5210, 5210, 4790, 3390 
5750, 5730, 5260, 3740 
6060, 6010, 5510, 3950 
6540, 6490, 5950, 4280 
6910, 6820, 6280, 4520 
7150, 7050, 6480, 4690 
7440, 7370, 6760, 4920 
7780, 7750, 7120, 5200 
8010, 8030, 7370, 5380 
8170, 8210, 7580, 5500 
8470, 8580, 7920, 5770 
9640, 9710, 9250, 6630 
9940, 10030, 9540, 6840 
10320, 10370, 9840, 7080 
11100, 11220, 10800, 7640 
11540, 11700, 11280, 7940 
11980, 12170, 11710, 8280 
12150, 12370, 11870, 8410 
12640, 13060, 12540, 8750 
12920, 13350, 12810, 8950 
13230, 13670, 13090, 9170 
13820, 14360, 13800, 9610 
14070, 14630, 14060, 9910 
14250, 14810, 14260, 10040 
14580, 15140, 14620, 10280 
14840, 15420, 14900, 10470 
15440, 16040, 15540, 10870 
